codigo_viagem,cnpj,numero_equipamento_fiscal,numero_bilhete,data_emissao_bilhete,hora_emissao_bilhete,categoria_transporte,nu_linha,origem_destino_linha,ponto_origem_viagem,ponto_destino_viagem,tipo_servico,data_viagem,hora_viagem,tipo_viagem,numero_poltrona,plataforma_embarque,tipo_gratitude,valor_tarifa,valor_percentual_desconto,valor_aliquota_icms,valor_pedagio,valor_taxa_embarque,valor_total,origem_emissao,in_passagem_cancelada
2486967,30069314000101,35191230069314002821,370123,03-12-2019,14:31:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,13-01-2020,00:15:00,Regular,23,08,Tarifa Normal - sem desconto,109.77,0.0,12.0,7.83,6.39,123.99,Não Se Aplica,NÃO
2514696,30069314000101,35200130069314002821,467165,18-01-2020,10:52:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,20-01-2020,13:30:00,Regular,42,02,Tarifa Normal - sem desconto,113.68,0.0,12.0,7.83,6.39,127.9,Não Se Aplica,NÃO
2487811,30069314000101,35200130069314002821,466270,17-01-2020,19:12:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,18-01-2020,00:35:00,Regular,50,06,Tarifa Normal - sem desconto,113.68,0.0,12.0,7.83,6.39,127.9,Não Se Aplica,NÃO
2515155,30069314000101,35200130069314002821,474390,22-01-2020,13:10:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,22-01-2020,23:55:00,Regular,21,04,Tarifa Normal - sem desconto,113.68,0.0,12.0,7.83,6.39,127.9,Não Se Aplica,NÃO
2452546,30069314000101,35191230069314002821,433210,30-12-2019,15:29:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,05-01-2020,02:30:00,Regular,22,04,Tarifa Normal - sem desconto,109.77,0.0,12.0,7.83,6.39,123.99,Não Se Aplica,NÃO
2452544,30069314000101,35191230069314002821,433210,30-12-2019,15:29:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,05-01-2020,02:30:00,Regular,22,04,Tarifa Normal - sem desconto,109.77,0.0,12.0,7.83,6.39,123.99,Não Se Aplica,NÃO
2463742,30069314000101,35200130069314002821,443580,06-01-2020,08:58:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,06-01-2020,09:30:00,Regular,49,02,"Gratuidade de Criança - Inciso XVII, art. 29 do Decreto nº 2.521/98",109.77,100.0,12.0,0.0,0.0,0.0,Não Se Aplica,NÃO
2514697,30069314000101,35200130069314002821,467165,18-01-2020,10:52:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),SAO PAULO/SP        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,20-01-2020,13:30:00,Regular,42,02,Tarifa Normal - sem desconto,113.68,0.0,12.0,7.83,6.39,127.9,Não Se Aplica,NÃO
2436115,61084018000103,31191261084018004877,410918,07-12-2019,21:02:00,Interestadual,6030500,BELO HORIZONTE(MG) - RIO DE JANEIRO(RJ),BELO HORIZONTE/MG        ,RIO DE JANEIRO/RJ        ,Convencional com sanitário,01-01-2020,15:00:00,Regular,24,E2,Tarifa Normal - sem desconto,104.48,0.0,18.0,6.61,3.9,114.99,Não Se Aplica,NÃO
2487007,30069314000101,33200130069314000101,4523371,13-01-2020,00:18:00,Interestadual,8008031,SAO PAULO(SP) - RIO DE JANEIRO(RJ),RIO DE JANEIRO/RJ        ,SAO PAULO/SP        ,Convencional com sanitário,13-01-2020,09:30:00,Regular,37,49 A 55,Tarifa Normal - sem desconto,113.93,0.0,20.0,7.83,6.14,127.9,Não Se Aplica,NÃO
